Path,Safety Index,Weight Loss Index,Busyness Index,Special Care Index,Green Index,Blue Index,Morning Index,Night Index
Path 1,0.26,0.00,0.11,0.63,0.83,0.57,1.00,0.48
Path 2,0.00,0.50,0.04,0.84,0.65,0.57,0.50,0.30
Path 3,1.00,0.50,0.06,0.73,1.00,0.57,0.50,1.00
Path 4,0.18,0.50,0.25,1.00,0.85,0.43,0.50,0.42
Path 5,0.79,1.00,0.78,0.77,0.40,0.68,0.00,0.86
Path 6,0.94,1.00,0.28,0.69,0.55,1.00,0.00,0.96
Path 7,0.69,1.00,0.68,0.00,0.31,0.00,0.00,0.08
Path 8,0.57,0.00,0.00,0.35,0.46,0.25,1.00,0.00
Path 9,0.54,1.00,1.00,0.81,0.00,0.04,0.00,0.68
Path 10,0.79,1.00,0.44,0.51,0.40,0.18,0.00,0.15
